bias,mae,rmse,win_pct,vegas_win_pct,delta_pct,wins_vs_vegas,vegas_wins,ties
6.1,15.7364,20.0649,31.55,68.45,-36.9,343,744,0
6.2,15.7781,20.1112,31.65,68.35,-36.7,344,743,0
6.3,15.8205,20.1579,31.37,68.63,-37.26,341,746,0
6.4,15.8633,20.205,31.28,68.72,-37.44,340,747,0
6.5,15.9066,20.2525,31.19,68.81,-37.62,339,748,0
6.6,15.9502,20.3004,31.09,68.91,-37.82,338,749,0
6.7,15.9942,20.3486,30.91,69.09,-38.18,336,751,0
6.8,16.0388,20.3972,31.09,68.91,-37.82,338,749,0
6.9,16.0838,20.4462,31.19,68.81,-37.62,339,748,0
7.0,16.1292,20.4955,31.0,69.0,-38.0,337,750,0
7.1,16.1747,20.5453,31.0,69.0,-38.0,337,750,0
7.2,16.2203,20.5954,30.63,69.37,-38.74,333,754,0
7.3,16.2658,20.6458,30.63,69.37,-38.74,333,754,0
7.4,16.3114,20.6966,30.73,69.27,-38.54,334,753,0
7.5,16.3571,20.7478,30.45,69.55,-39.1,331,756,0
7.6,16.4035,20.7993,30.08,69.92,-39.84,327,760,0
7.7,16.4503,20.8512,29.99,70.01,-40.02,326,761,0
7.8,16.4974,20.9034,29.81,70.19,-40.38,324,763,0
7.9,16.5448,20.956,29.71,70.29,-40.58,323,764,0
8.0,16.5924,21.0089,29.71,70.29,-40.58,323,764,0
